Year,Month,text
2018,8,What a great day!!! Looks like dream.
2018,8,"I feel sorry, I miss you here in the sea beach"
2017,8,Don't angry me
2022,6,We attend in the class just for listening teachers reading on slide. Just Nonsence  
2022,6,"Those who want to go, let them go"
2016,11,"Its night 2 am, feeling neutral"
2017,12,2 am feedings for the baby are fun when he is all smiles and coos
2017,12,Soooo high
2019,10, Both of you
2018,5,Today first time I arrive in the boat. Its amazing journey
2021,11,Love is something like E=MC^2 rules
2016,4,I really really like the song Cardigan by Taylor Swift
2016,5,My Sharpie is running DANGERously low on ink
2016,11,i want to go to music tonight but i lost my voice.
2016,11,Always somewhere I miss you where I have been
2017,11,Don't distrube me
2022,2,"I don't care, who are you and what can you do"
2023,1,i`ve been sick for the past few days 
2020,3,"I'm come back home, my past job, its really good time for me"
2019,11,I will never fall in love until I found you
2019,3," oh Maya, I`m so sorry!!  I hope you find her soon!! "
2019,11,"Playing with kids, its amazing"
2019,3,is cleaning the house for her family who is comming later today..
2019,8,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting
2016,7,"Follow me, I will follow you too"
2023,1,"Its amazing game, I playing everyday"
2023,2,  I`m sorry.
2019,11,"I'm in the village now and there hardly found internate, feeling gloomy"
2018,9,juss came back from Barisal
2020,4,Went to sleep and there is a power cut in the village. 
2019,10,How looks like our company new logo?
2023,1,"I buy Sophie's world book, I'm really so happy"
2023,1, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
2019,4, That`s very funny.  Cute kids.
2017,8," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
2022,4,My semester final exam is complete. Hurray!!!
2022,1,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
2019,3,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
2019,2,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
2018,11, romance zero is funny
2019,9," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
2018,11,Yor are so unromantic
2020,8,MAYDAY?!
2014,6, I`d rather do the early run..but I am a morning runner
2020,8, I love to! But I`m only available from 5pm.  and where dear?
2023,4,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
2020,4, i talk to you
2019,8,"im soo bored, I don't like this music video"
2023,5,this concert is amazing
2023,8,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now"
2023,9,"Its raining, I need an umbrella "
2023,9,should be sleeping.  lost my voice a couple day ago.
2023,9,"I'm depressed, I'm thinking about suicide, what I need to do now?"
2019,8, I`ve heard this fall. I`m waiting too!
2023,9,I saw an amazing nightmare yesterday night
2023,9,I AM SUCH A CREEPER  I feel disappointed because of it.
2020,11,"I have bad headech, what I need to do now"
2023,9,happy mother`s day to all moms out there. Mothers are our real hero
2023,9,Grabbing coffee from  then making mom breakfast
2023,1,im thinking that im going to have fun tonight
2023,2,Yesterday was most valuable day for me
2023,2," Haha I know, I cant handle the fame!  and thank you!"
2023,2,"One suggestion for me is, be up to date"
2023,3,"Always love everyone, love all animals. Most important love your parents"
2015,12,I'm playing minecraft video game. I'm addicated to it.
2015,12,See you in the cloud
2018,8,What a great day!!! Looks like dream.
2018,8,"I feel sorry, I miss you here in the sea beach"
2017,8,Don't angry me
2022,6,We attend in the class just for listening teachers reading on slide. Just Nonsence  
2022,6,"Those who want to go, let them go"
2016,11,"Its night 2 am, feeling neutral"
2017,12,2 am feedings for the baby are fun when he is all smiles and coos
2017,12,Soooo high
2019,10, Both of you
2018,5,Today first time I arrive in the boat. Its amazing journey
2021,11,Love is something like E=MC^2 rules
2016,4,I really really like the song Cardigan by Taylor Swift
2016,5,My Sharpie is running DANGERously low on ink
2016,11,i want to go to music tonight but i lost my voice.
2016,11,Always somewhere I miss you where I have been
2017,11,Don't distrube me
2022,2,"I don't care, who are you and what can you do"
2023,1,i`ve been sick for the past few days 
2020,3,"I'm come back home, my past job, its really good time for me"
2019,11,I will never fall in love until I found you
2019,3," oh Maya, I`m so sorry!!  I hope you find her soon!! "
2019,11,"Playing with kids, its amazing"
2019,3,is cleaning the house for her family who is comming later today..
2019,8,I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting
2016,7,"Follow me, I will follow you too"
2023,1,"Its amazing game, I playing everyday"
2023,2,  I`m sorry.
2019,11,"I'm in the village now and there hardly found internate, feeling gloomy"
2018,9,juss came back from Barisal
2020,4,Went to sleep and there is a power cut in the village. 
2019,10,How looks like our company new logo?
2023,1,"I buy Sophie's world book, I'm really so happy"
2023,1, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.
2019,4, That`s very funny.  Cute kids.
2017,8," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."
2022,4,My semester final exam is complete. Hurray!!!
2022,1,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY
2019,3,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"
2019,2,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....
2018,11, romance zero is funny
2019,9," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"
2018,11,Yor are so unromantic
2020,8,MAYDAY?!
2014,6, I`d rather do the early run..but I am a morning runner
2020,8, I love to! But I`m only available from 5pm.  and where dear?
2023,4,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
2020,4, i talk to you
2023,9,Grabbing coffee from  then making mom breakfast
2023,1,im thinking that im going to have fun tonight....and maybe some changes are coming
2023,2, thanks. before the major chop.
2023,2," Haha I know, I cant handle the fame!  and thank you!"
2023,2,just got up and updated my ipod
2023,3,"I still loving you, you are my love"
2015,12,"Lets go, its time to play cricket match"
2015,12,"Hey everyone, do you watch cricket match between eng vs aus yesterday"
2020,5,Australia cricket team I love you
2019,11, which means you`re just going to have to come back to vancouver and have it our way! hahah
2017,12,Feeling smooth like chrome
2018,12,feeling gloomy
2017,9,Today we will go a concert
2016,2,i need coffee too.
2022,6, Sounds like me
2016,8,Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...
2016,9,Walking to class. I hate not having a bike....especially mine.
2023,5,I'm start learning machine learning
2023,8,failed inspection. 
2023,8,Lets sing a song
2023,9,happy father`s day to all the father in the world.
2023,10,"Today, my semester final exam was really great"
2023,9,Really great day
2023,10,The exception for a short dude
2023,1,Congratulation for your achievement
